  grantor  |  grantee  | table_catalog | table_schema |                 table_name                 | privilege_type | is_grantable | with_hierarchy 
 postgres  | pngie_app | pngie_rdc     | public       | competence                                 | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | competence                                 | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | corps                                      | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | corps                                      | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | corps                                      | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | corps                                      | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | decision_action                            | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | decision_action                            | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | decision_action                            | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | decision_action                            | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | decision_gouvernementale                   | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | decision_gouvernementale                   | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | decision_gouvernementale                   | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | decision_gouvernementale                   | UPDATE         | NO           | NO
 pngie_app | pngie_app | pngie_rdc     | public       | decision_institutionnelle                  | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | decision_institutionnelle                  | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | decision_institutionnelle                  | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | decision_institutionnelle                  | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | decision_institutionnelle                  | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | decision_institutionnelle                  | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | decision_institutionnelle                  | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_douaniere                      | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_douaniere                      | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_douaniere                      | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_douaniere                      | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_douaniere                      | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_douaniere                      | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_douaniere                      | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_fiscale                        | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_fiscale                        | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_fiscale                        | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_fiscale                        | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_fiscale                        | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_fiscale                        | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | declaration_fiscale                        | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | delegation_perimetre                       | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | delegation_perimetre                       | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | delegation_perimetre                       | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | delegation_perimetre                       | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | delegation_perimetre                       | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | delegation_perimetre                       | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | delegation_perimetre                       | INSERT         | YES          | NO
 postgres  | pngie_app | pngie_rdc     | public       | delegation_pouvoir                         | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | delegation_pouvoir                         | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | delegation_pouvoir                         | INSERT         | NO           | NO
