 table_schema |                 table_name                 |                          privileges                           
 public       | ordre_paiement                             | DELETE, INSERT, SELECT, UPDATE
 public       | organization                               | DELETE, INSERT, SELECT, UPDATE
 public       | organization_type                          | DELETE, INSERT, SELECT, UPDATE
 public       | permis_minier                              | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | permission                                 | DELETE, INSERT, SELECT, UPDATE
 public       | permission_compat                          | DELETE, INSERT, SELECT, UPDATE
 public       | person                                     | DELETE, INSERT, SELECT, UPDATE
 public       | person_role                                | DELETE, INSERT, SELECT, UPDATE
 public       | personne                                   | DELETE, INSERT, REFERENCES, SELECT, UPDATE
 public       | personne_role                              | DELETE, INSERT, SELECT, UPDATE
 public       | plan_developpement                         | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | poste                                      | DELETE, INSERT, SELECT, UPDATE
 public       | poste_role_metier                          | DELETE, INSERT, SELECT, UPDATE
 public       | pouvoir                                    | DELETE, INSERT, SELECT, UPDATE
 public       | processus                                  | DELETE, INSERT, SELECT, UPDATE
 public       | processus_etape                            | DELETE, INSERT, SELECT, UPDATE
 public       | projet_recherche                           | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | raccordement_energetique                   | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | reclamation_citoyenne                      | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
 public       | ref_auditorat_militaire                    | DELETE, INSERT, SELECT, UPDATE
 public       | ref_auditorat_militaire_historique         | DELETE, INSERT, SELECT, UPDATE
 public       | ref_casier_historique                      | DELETE, INSERT, SELECT, UPDATE
 public       | ref_casier_judiciaire                      | DELETE, INSERT, SELECT, UPDATE
 public       | ref_condamnation                           | DELETE, INSERT, SELECT, UPDATE
 public       | ref_cour_appel                             | DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE
